bin	genpergeo	meanlat
BOLD:AAA1223	0.00146187765637682	10.8980745833364
BOLD:AAA1257	0.000926216400642182	43.4501969151374
BOLD:AAA1265	7.99753246122735e-05	10.8481078651682
BOLD:AAA1293	0.000435767562960257	-18.0166030303027
BOLD:AAA1467	0.00187669716176398	41.4230165412894
BOLD:AAA1468	0.000984457062808657	47.9631010169422
BOLD:AAA1469	0.0135133309504315	58.9717677794043
BOLD:AAA1470	0.026220765160291	55.2860937908437
BOLD:AAA1634	0.00122795798223591	10.8066775423722
BOLD:AAA1638	0.00329527780727241	10.9154311377248
BOLD:AAA1674	0.00032535393640951	-16.4839444444444
BOLD:AAA1675	7.2345882490226e-05	-10.11314375
BOLD:AAA1676	1.62817894434196e-05	-12.2796363636364
BOLD:AAA1677	0.000173058422441347	-19.2076750000001
BOLD:AAA1678	9.1988110390291e-05	-21.95195
BOLD:AAA1679	0.000114675427964083	-21.4202941176471
BOLD:AAA1682	0.00014269802484638	-22.0925714285714
BOLD:AAA1684	8.03682145284624e-05	-16.4838421052632
BOLD:AAA1685	0.000257353021162127	-18.9327419354839
BOLD:AAA1686	0.00176407685924109	-16.7136666666667
BOLD:AAA1690	0.00101829568804978	-16.7066153846154
BOLD:AAA1839	0.00415407707263661	43.8517707317073
BOLD:AAA1840	0.00764671653672804	43.6969071428572
BOLD:AAA1841	0.00467017666480813	48.2532879310345
BOLD:AAA1848	0.0830223007287999	49.149288
BOLD:AAA1857	2.39535433896089e-05	49.9848461538458
BOLD:AAA1858	4.85335455884855e-05	51.3423481894272
BOLD:AAA1865	0.00615582463307921	43.5787478260869
BOLD:AAA1866	0.000347165881760015	54.377773999999
BOLD:AAA1867	0.0342348199412005	47.9482251497018
BOLD:AAA2094	0.0325240792076104	-13.25025
BOLD:AAA2095	0.000356525380191271	-15.9273000000003
BOLD:AAA2099	0.0176210172363272	-13.2142941176471
BOLD:AAA2104	0.0128272216551312	-12.9049090909091
BOLD:AAA2126	0.0112078552459799	-13.0152
BOLD:AAA2138	9.6887514859881e-06	43.5597333333333
BOLD:AAA2139	0.00250671628821515	43.5385122580651
BOLD:AAA2141	0.000232921743723215	43.7586266666666
BOLD:AAA2143	0.00450160438081697	10.8321022988502
BOLD:AAA2292	0.00244564224085675	10.962974137931
BOLD:AAA2322	4.47092858314016e-05	46.2284000000002
BOLD:AAA2326	8.33879365622247e-05	16.3941039402989
BOLD:AAA2327	1.80057450956442e-06	23.5059
BOLD:AAA2329	0.00581860833633525	10.9411487179488
BOLD:AAA2333	0.000204164315224877	-20.2195000000002
BOLD:AAA2335	0.00301268096750448	-12.3015454545455
BOLD:AAA2336	0.000863351712981678	-12.2516
BOLD:AAA2339	0.000203037981937437	19.8048379310345
BOLD:AAA2348	6.47244378707468e-05	20.0231055555555
BOLD:AAA2368	0.000966444170838253	41.5875265957439
BOLD:AAA2372	0.0037660557137321	50.3040151234481
BOLD:AAA2408	0.0223579484168917	52.5926885620935
BOLD:AAA2409	0.00996098572978855	52.7854276190473
BOLD:AAA2412	0.0192408446011555	-18.8267777777778
BOLD:AAA2413	0.417381682181415	-13.5480769230769
BOLD:AAA2414	0.000227051816242812	-20.1279545454545
BOLD:AAA2419	0.00114233748575958	-21.1195263157895
BOLD:AAA2420	0.00209856193365217	-23.604606557377
BOLD:AAA2423	0.00874965108655455	-16.1519285714286
BOLD:AAA2425	0.000675771957398374	39.6714285714286
BOLD:AAA2445	0.00128007636233383	10.8977918918912
BOLD:AAA2511	0.00557490932253567	10.9799823943659
BOLD:AAA2572	0.000617703093455733	-19.2487176470587
BOLD:AAA2608	2.54097737845288e-05	33.3564
BOLD:AAA2616	0.0125619148235888	-16.7772
BOLD:AAA2641	1.90192253270057e-05	46.6038954545454
BOLD:AAA2642	0.000173745176185796	48.12349
BOLD:AAA2644	2.80328765455103e-05	46.72503
BOLD:AAA2668	0.00699299454078395	10.9057648275869
BOLD:AAA2794	0.00079858510510408	10.9125156249999
BOLD:AAA2795	0.00046460825692966	-17.2477887323943
BOLD:AAA2796	0.00187114329750634	-20.4852542372878
BOLD:AAA2797	0.000579000028368643	-12.5433257333333
BOLD:AAA2816	0.000619442048825937	10.8952742268037
BOLD:AAA2958	0.000259085176718642	10.8980224999997
BOLD:AAA2981	0.000118107592604209	-21.0724962264152
BOLD:AAA3077	0.00022826391866165	10.8845773195878
BOLD:AAA3092	8.89605400582636e-06	54.9662166666667
BOLD:AAA3094	3.45434734626202e-05	60.2674
BOLD:AAA3095	2.45635452950647e-05	60.12525
BOLD:AAA3097	3.55472476614843e-06	61.8701
BOLD:AAA3102	6.31869810211561e-07	30.6754333333333
BOLD:AAA3104	0.00372699590358503	31.2780769230769
BOLD:AAA3188	0.0015187121825572	-20.031036144578
BOLD:AAA3189	0.000745114261585867	-20.6010425531914
BOLD:AAA3191	7.95737377042926e-05	-11.7950909090909
BOLD:AAA3229	0.00512548010497591	10.9688880952381
BOLD:AAA3263	0.0292890871625255	-14.4368
BOLD:AAA3302	0.000318007723031885	10.8263333333333
BOLD:AAA3359	0.000109239361829226	-17.4973925233644
BOLD:AAA3362	5.9415278512071e-05	7.45371428571428
BOLD:AAA3412	0.00303572790565916	-21.49883
BOLD:AAA3534	2.26599635041603e-05	48.7914739130433
BOLD:AAA3631	0.000301315549190845	19.6466733333333
BOLD:AAA3633	0.000766944149412438	19.5536909090909
BOLD:AAA3670	2.25770709273984e-05	-11.1131574285714
BOLD:AAA3671	0.00327742983983494	-18.1591904761905
BOLD:AAA3672	0.000377022433129306	-12.4749333333333
BOLD:AAA3675	0.000592068222620044	-17.2073564516128
BOLD:AAA3684	0.033870262358406	10.9074542857143
BOLD:AAA3687	0.0295484479882751	-14.4356451612903
BOLD:AAA3697	0.00818138799269391	-15.268
BOLD:AAA3702	0.00267206565695807	-17.79
BOLD:AAA3764	0.000590577525482363	46.7068506849319
BOLD:AAA3767	0.066157200225607	10.8460792079208
BOLD:AAA3781	5.12581008382619e-06	38.7064337837837
BOLD:AAA3782	0.000697394705952987	39.1695333333334
BOLD:AAA3794	0.00201697564614309	11.3849809523809
